display_name,gender,aliases
阮言Ruany,女歌手,
软硬天师,组合,
芮恩,女歌手,
瑞鸣音乐,组合,
若以止白,女歌手,
萨顶顶,女歌手,
三角COOL,组合,
三块木头,男歌手,
三无MarBlue,女歌手,
散人,组合,
沙宝亮,男歌手,
沙一汀EL,男歌手,
傻子与白痴,组合,
厦门六中合唱团,组合,
山丹丹民歌组合,组合,
山人乐队,组合,
山鹰组合,组合,
闪星TwinkleStar,组合,
善宇,女歌手,
上海彩虹室内合唱团,组合,
尚辰,男歌手,
尚士达,男歌手,
尚雯婕,女歌手,
少年霜,女歌手,
少司命,女歌手,
邵帅,男歌手,
邵雨涵,女歌手,
深海鱼子酱,女歌手,
深蓝儿童,组合,
深蓝乐团,组合,
神木与瞳,组合,
沈丹丹,女歌手,
沈梦辰,女歌手,
沈谧仁,男歌手,
沈小岑,女歌手,
沈以诚,男歌手,
声音玩具,组合,
诗岸,女歌手,
狮子LION,组合,
石白其,女歌手,
石凯,男歌手,
石头,男歌手,
石玺彤,女歌手,
石欣卉,女歌手,
石岩,男歌手,
时代少年团,组合,
时光胶囊,组合,
时翔云,女歌手,
史一,女歌手,
誓言,男歌手,
瘦子E.SO,男歌手,
树屋女孩,组合,
水木年华,组合,
顺子,女歌手,
说说Crystal,女歌手,
司墨尧smile,女歌手,
司南,女歌手,
司夏,女歌手,
斯丹曼簇,女歌手,
斯琴高丽,女歌手,
斯斯与帆,组合,
四个女生,组合,
宋佳,女歌手,
宋茜,女歌手,
宋晓峰,男歌手,
宋亚轩,男歌手,
宋雨琦,女歌手,
宋岳庭,男歌手,
宋祖英,女歌手,
苏琛,男歌手,
苏打绿,组合,
苏慧伦,女歌手,
苏克,男歌手,
苏芮,女歌手,
苏诗丁,女歌手,
苏玮,男歌手,
苏星婕,女歌手,
苏醒,男歌手,
苏永康,男歌手,
苏有朋,男歌手,
苏运莹,女歌手,
